                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x73f143ea8010, 2000000 allocated for zone
Using /home/joseacontreras/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/joseacontreras/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/joseacontreras/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 20:11:49 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 20:12:57	 2427	 -467	388	24	 249.96	 -1	-2 	0
2025-11-04 20:12:58	 2462	 -500	345	24	 297.42	 -2	-1 	0
2025-11-04 20:12:59	 2497	 -427	236	24	 323.79	 5	-6 	0
2025-11-04 20:13:00	 2532	 -181	117	32	 337.85	 7	-3 	0
2025-11-04 20:13:01	 2567	 -42	69	40	 299.18	 0	-1 	0
2025-11-04 20:13:02	 2602	 27	-66	24	 288.63	 1	-7 	0
2025-11-04 20:13:03	 2637	 83	-194	24	 211.29	 0	-1 	0
2025-11-04 20:13:04	 2672	 55	-160	24	 114.61	 -4	5 	0
2025-11-04 20:13:05	 2707	 -9	94	48	 84.73	 0	8 	0
2025-11-04 20:13:06	 2742	 4	222	48	 72.42	 0	2 	0
2025-11-04 20:13:07	 2777	 0	355	48	 128.67	 -4	6 	0
2025-11-04 20:13:08	 2812	 -17	568	46	 67.15	 2	6 	0
2025-11-04 20:13:09	 2847	 13	838	24	 98.79	 -3	7 	0
2025-11-04 20:13:10	 2882	 33	943	24	 9.14	 4	0 	0
2025-11-04 20:13:11	 2917	 111	749	24	 300.59	 0	-7 	0
2025-11-04 20:13:12	 2952	 281	574	24	 348.05	 7	-4 	0
2025-11-04 20:13:13	 2987	 412	590	24	 26.72	 3	2 	0
2025-11-04 20:13:14	 3022	 649	668	24	 12.66	 7	2 	0
2025-11-04 20:13:15	 3057	 780	695	24	 356.84	 -1	-1 	0
2025-11-04 20:13:16	 3092	 853	691	24	 3.87	 4	0 	0
2025-11-04 20:13:17	 3127	 914	691	24	 65.39	 1	2 	0
2025-11-04 20:13:18	 3162	 945	725	40	 133.95	 0	0 	0
2025-11-04 20:13:21	 3246	 1015	760	56	 18.28	 6	3 	0
2025-11-04 20:13:22	 3281	 1274	855	120	 2.46	 7	2 	0
2025-11-04 20:13:23	 3316	 1476	780	168	 256.99	 0	-5 	0
2025-11-04 20:13:24	 3351	 1471	544	216	 307.97	 0	-5 	0
2025-11-04 20:13:25	 3386	 1479	500	232	 283.36	 0	-1 	0
2025-11-04 20:13:26	 3421	 1482	661	200	 260.51	 0	7 	0
2025-11-04 20:13:27	 3456	 1475	709	184	 264.02	 -1	-7 	0
2025-11-04 20:13:28	 3491	 1459	521	232	 283.36	 -1	-3 	0
2025-11-04 20:13:29	 3526	 1450	535	227	 278.09	 -1	3 	0
2025-11-04 20:13:30	 3561	 1449	548	216	 286.88	 0	-4 	0
2025-11-04 20:13:31	 3596	 1521	390	248	 341.37	 5	-6 	0
2025-11-04 20:13:32	 3631	 1772	342	248	 60.47	 6	3 	0
2025-11-04 20:13:33	 3666	 1742	418	248	 165.94	 -5	1 	0
2025-11-04 20:13:34	 3701	 1516	381	248	 215.16	 -8	-4 	0
2025-11-04 20:13:35	 3736	 1254	278	248	 158.91	 -9	-1 	0
2025-11-04 20:13:36	 3771	 1177	417	248	 35.86	 3	6 	0
2025-11-04 20:13:37	 3806	 1247	431	248	 336.09	 -5	0 	0
2025-11-04 20:13:38	 3841	 1181	431	248	 232.38	 -1	0 	0
2025-11-04 20:13:39	 3876	 1168	390	248	 325.55	 0	-1 	0
2025-11-04 20:13:40	 3911	 1333	336	248	 330.82	 7	-3 	0
2025-11-04 20:13:41	 3946	 1532	146	218	 241.17	 3	-8 	0
2025-11-04 20:13:42	 3981	 1490	-47	168	 225.35	 -5	-6 	0
2025-11-04 20:13:43	 4016	 1258	-181	120	 149.77	 -9	-1 	0
2025-11-04 20:13:44	 4051	 993	-88	54	 165.59	 -9	3 	0
2025-11-04 20:13:45	 4086	 868	-26	24	 165.59	 2	-1 	0
2025-11-04 20:13:46	 4121	 749	-4	24	 188.44	 -8	0 	0
2025-11-04 20:13:47	 4156	 466	-29	24	 179.65	 -9	-1 	0
2025-11-04 20:13:48	 4191	 198	-29	24	 190.20	 -8	-1 	0
2025-11-04 20:13:49	 4226	 -37	-145	24	 283.36	 -3	-8 	0
2025-11-04 20:13:50	 4266	 15	-332	32	 276.33	 -1	2 	0
2025-11-04 20:13:51	 4301	 8	-332	32	 249.96	 -1	-5 	0
2025-11-04 20:13:52	 4339	 22	-253	24	 149.77	 0	0 	0
2025-11-04 20:13:53	 4374	 -41	-120	24	 140.98	 -5	6 	0
2025-11-04 20:13:54	 4409	 -253	65	24	 144.49	 -7	4 	0
2025-11-04 20:13:55	 4444	 -476	251	24	 151.52	 -7	5 	0
2025-11-04 20:13:56	 4479	 -704	368	24	 174.38	 1	0 	0
2025-11-04 20:13:57	 4514	 -488	357	24	 181.41	 4	-1 	0
2025-11-04 20:13:58	 4549	 -582	362	24	 170.86	 -7	1 	0
2025-11-04 20:13:59	 4584	 -791	382	24	 177.89	 -5	0 	0
2025-11-04 20:14:00	 4619	 -858	387	24	 169.10	 -2	0 	0
2025-11-04 20:14:01	 4654	 -876	391	24	 176.13	 -1	0 	0
2025-11-04 20:14:02	 4702	 -944	395	24	 174.38	 -1	0 	0
2025-11-04 20:14:03	 4737	 -979	466	24	 111.09	 -3	6 	0
2025-11-04 20:14:04	 4772	 -1019	602	24	 82.97	 -1	0 	0
2025-11-04 20:14:07	 4857	 -1054	591	24	 206.02	 -6	-3 	0
2025-11-04 20:14:08	 4892	 -1236	499	24	 190.20	 -7	-3 	0
2025-11-04 20:14:09	 4927	 -1511	487	24	 183.16	 -9	0 	0
2025-11-04 20:14:10	 4962	 -1783	550	104	 104.06	 -6	5 	0
2025-11-04 20:14:11	 4997	 -1823	699	152	 341.02	 -1	0 	0
2025-11-04 20:14:12	 5032	 -1797	706	168	 7.38	 1	-1 	0
2025-11-04 20:14:13	 5067	 -1769	700	152	 33.75	 2	1 	0
2025-11-04 20:14:14	 5102	 -1722	802	200	 77.70	 1	6 	0
2025-11-04 20:14:15	 5137	 -1707	1003	248	 44.30	 2	6 	0
2025-11-04 20:14:16	 5172	 -1557	1179	248	 2.11	 6	3 	0
2025-11-04 20:14:17	 5207	 -1394	1189	248	 346.29	 7	-2 	0
2025-11-04 20:14:18	 5242	 -1241	1055	248	 232.03	 -3	-6 	0
2025-11-04 20:14:19	 5277	 -1357	992	248	 182.81	 -8	0 	0
2025-11-04 20:14:20	 5312	 -1483	990	248	 182.81	 -1	-1 	0
2025-11-04 20:14:21	 5347	 -1349	995	248	 166.99	 7	-1 	0
2025-11-04 20:14:22	 5382	 -1268	1023	248	 117.77	 -4	6 	0
2025-11-04 20:14:23	 5417	 -1407	1180	248	 159.96	 -7	2 	0
2025-11-04 20:14:24	 5452	 -1555	1373	248	 66.80	 0	7 	0
2025-11-04 20:14:25	 5487	 -1553	1582	248	 82.62	 -1	7 	11
2025-11-04 20:14:26	 5522	 -1489	1641	100	 319.57	 0	-2 	11
2025-11-04 20:14:27	 5557	 -1494	1584	0	 316.05	 -1	0 	11
2025-11-04 20:14:29	 5627	 -1507	1629	0	 91.41	 -1	-3 	11
2025-11-04 20:14:30	 5675	 -1500	1584	88	 107.23	 0	0 	11
2025-11-04 20:14:32	 5728	 -1503	1625	248	 103.71	 -2	5 	11
2025-11-04 20:14:33	 5763	 -1534	1584	132	 79.10	 -1	0 	11
2025-11-04 20:14:34	 5829	 -1536	1584	0	 94.92	 0	0 	11
2025-11-04 20:14:35	 5864	 -1527	1584	0	 94.92	 0	-1 	11
2025-11-04 20:14:38	 5970	 -1519	1622	248	 84.38	 0	5 	11
2025-11-04 20:14:40	 6015	 -1511	1637	248	 84.38	 -1	-4 	11
2025-11-04 20:14:41	 6050	 -1523	1521	248	 84.38	 0	4 	0
2025-11-04 20:14:42	 6085	 -1510	1652	16	 84.38	 0	2 	11
2025-11-04 20:14:43	 6120	 -1510	1584	0	 103.71	 0	-1 	11
2025-11-04 20:14:44	 6155	 -1506	1594	0	 68.55	 -1	-2 	11
2025-11-04 20:14:45	 6190	 -1524	1584	0	 70.31	 -1	0 	11
2025-11-04 20:14:46	 6228	 -1489	1705	77	 70.31	 0	3 	0
2025-11-04 20:14:47	 6263	 -1450	1819	0	 66.80	 3	5 	0
2025-11-04 20:14:48	 6298	 -1498	2037	0	 189.84	 -7	2 	0
2025-11-04 20:14:49	 6333	 -1669	1906	0	 286.52	 -1	-8 	0
2025-11-04 20:14:50	 6368	 -1602	1731	0	 341.02	 2	-2 	0
2025-11-04 20:14:51	 6403	 -1579	1720	0	 104.06	 -1	2 	0
2025-11-04 20:14:52	 6438	 -1668	1925	0	 172.62	 -7	4 	0
2025-11-04 20:14:53	 6473	 -1712	1982	0	 82.97	 0	0 	0
2025-11-04 20:14:54	 6508	 -1617	2064	0	 35.51	 5	3 	0
2025-11-04 20:14:55	 6543	 -1490	2095	0	 31.99	 4	0 	0
2025-11-04 20:14:56	 6578	 -1374	2098	0	 47.81	 6	2 	0
2025-11-04 20:14:57	 6613	 -1319	2287	0	 35.51	 0	0 	0
2025-11-04 20:14:58	 6648	 -1214	2270	-16	 353.32	 6	-2 	0
2025-11-04 20:14:59	 6683	 -920	2219	-85	 9.14	 9	-2 	0
2025-11-04 20:15:00	 6718	 -734	2275	-137	 40.78	 5	4 	0
2025-11-04 20:15:01	 6753	 -673	2320	-144	 330.47	 0	-1 	0
2025-11-04 20:15:02	 6788	 -577	2325	-144	 330.47	 -1	0 	0
2025-11-04 20:15:03	 6823	 -613	2349	-144	 328.71	 -2	0 	0
2025-11-04 20:15:05	 6888	 -661	2345	-144	 16.17	 1	0 	0
2025-11-04 20:15:06	 6923	 -544	2410	-144	 51.33	 4	5 	0
2025-11-04 20:15:07	 6958	 -330	2440	-144	 290.04	 5	-6 	0
2025-11-04 20:15:08	 6993	 -425	2318	-144	 214.45	 -4	-3 	0
2025-11-04 20:15:09	 7028	 -465	2294	-144	 337.50	 -1	-1 	0
2025-11-04 20:15:10	 7065	 -346	2325	-153	 5.62	 3	-4 	13
2025-11-04 20:15:11	 7100	 -343	2320	-232	 349.80	 0	0 	13
2025-11-04 20:15:12	 7135	 -353	2321	-152	 2.11	 1	-1 	13
2025-11-04 20:15:13	 7170	 -370	2334	-144	 9.14	 -6	-1 	13
2025-11-04 20:15:14	 7205	 -590	2303	-144	 9.14	 -3	-1 	0
2025-11-04 20:15:15	 7240	 -505	2316	-144	 9.14	 7	1 	0
2025-11-04 20:15:16	 7275	 -348	2351	-232	 9.14	 5	0 	13
2025-11-04 20:15:17	 7329	 -368	2351	-208	 319.92	 -1	0 	13
2025-11-04 20:15:24	 7506	 -1468	-3322	64	 77.70	 1	4 	0
2025-11-04 20:15:26	 7569	 -1444	-3219	64	 251.72	 -1	-3 	0
2025-11-04 20:15:27	 7604	 -1588	-3372	64	 174.38	 -8	-3 	0
2025-11-04 20:15:28	 7639	 -1640	-3265	64	 51.33	 2	6 	0
2025-11-04 20:15:29	 7674	 -1478	-3248	64	 311.13	 6	-4 	0
2025-11-04 20:15:30	 7709	 -1432	-3376	64	 188.09	 -5	-1 	0
2025-11-04 20:15:31	 7744	 -1594	-3256	64	 65.04	 -1	7 	0
2025-11-04 20:15:32	 7779	 -1553	-3233	64	 49.22	 -3	-4 	0
2025-11-04 20:15:33	 7814	 -1598	-3295	64	 40.43	 -1	-1 	0
2025-11-04 20:15:34	 7849	 -1536	-3280	64	 84.38	 0	0 	0
2025-11-04 20:15:37	 7965	 -1550	-3281	64	 98.44	 -4	-1 	0
2025-11-04 20:15:38	 8000	 -1590	-3287	64	 98.44	 -1	-1 	0
2025-11-04 20:15:41	 8093	 -1541	-3280	64	 98.44	 2	0 	0
2025-11-04 20:15:42	 8128	 -1476	-3270	64	 98.44	 -1	-1 	0
2025-11-04 20:15:44	 8196	 -1466	-3269	64	 98.44	 2	0 	0
2025-11-04 20:15:45	 8231	 -1411	-3261	64	 133.59	 0	0 	0
2025-11-04 20:15:48	 8346	 -1424	-3282	64	 144.14	 -1	-1 	0
2025-11-04 20:15:49	 8381	 -1413	-3269	64	 149.41	 0	0 	0
2025-11-04 20:15:58	 8706	 -1451	-3231	64	 135.35	 -1	0 	0
2025-11-04 20:15:59	 8741	 -1504	-3077	64	 45.70	 1	5 	0
2025-11-04 20:16:00	 8776	 -1413	-3037	64	 345.94	 6	-2 	0
2025-11-04 20:16:01	 8811	 -1153	-3032	64	 68.55	 5	4 	0
2025-11-04 20:16:02	 8846	 -1108	-2794	64	 161.72	 -5	5 	0
2025-11-04 20:16:03	 8881	 -1181	-2740	64	 284.77	 0	-4 	0
2025-11-04 20:16:04	 8916	 -1150	-2972	64	 237.30	 -2	-8 	0
2025-11-04 20:16:05	 8951	 -1348	-3126	64	 182.81	 -8	-2 	0
2025-11-04 20:16:06	 8986	 -1633	-3163	64	 165.23	 -9	-1 	0
2025-11-04 20:16:07	 9021	 -1877	-3062	64	 82.62	 -3	6 	0
2025-11-04 20:16:08	 9056	 -1846	-2884	64	 105.47	 0	7 	0
2025-11-04 20:16:09	 9091	 -1809	-2617	64	 24.61	 0	1 	0
2025-11-04 20:16:10	 9126	 -1645	-2551	64	 59.77	 5	3 	0
