                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0xf56795cef010, 2000000 allocated for zone
Using /home/daniel/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/daniel/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/daniel/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 18:48:24 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 18:49:30	 2428	 1519	-2496	0	 0.70	 0	0 	0
2025-11-04 18:49:32	 2467	 1652	-2493	0	 357.19	 7	0 	0
2025-11-04 18:49:33	 2502	 1920	-2505	0	 4.22	 4	0 	0
2025-11-04 18:49:34	 2537	 1967	-2504	0	 9.49	 0	0 	0
2025-11-04 18:49:35	 2594	 2096	-2477	0	 327.30	 7	-2 	0
2025-11-04 18:49:36	 2629	 2287	-2536	24	 39.38	 0	1 	0
2025-11-04 18:49:37	 2664	 2278	-2355	24	 99.14	 -1	7 	0
2025-11-04 18:49:38	 2699	 2191	-2321	24	 216.91	 -2	0 	0
2025-11-04 18:49:39	 2734	 2176	-2407	16	 276.68	 0	-4 	0
2025-11-04 18:49:40	 2769	 2148	-2544	8	 192.30	 -4	-1 	0
2025-11-04 18:49:41	 2804	 1931	-2569	0	 222.19	 -7	-4 	0
2025-11-04 18:49:42	 2839	 1781	-2682	0	 280.20	 -1	-1 	0
2025-11-04 18:49:43	 2874	 1835	-2695	0	 354.02	 6	-1 	0
2025-11-04 18:49:44	 2909	 2107	-2692	0	 9.84	 8	1 	0
2025-11-04 18:49:45	 2944	 2367	-2623	0	 57.30	 5	4 	0
2025-11-04 18:49:46	 2979	 2478	-2425	0	 110.04	 -1	4 	0
2025-11-04 18:49:47	 3014	 2330	-2246	0	 164.53	 -8	2 	0
2025-11-04 18:49:48	 3049	 2050	-2209	0	 199.69	 -9	-1 	0
2025-11-04 18:49:49	 3084	 1863	-2356	0	 240.12	 -4	-7 	0
2025-11-04 18:49:50	 3119	 1667	-2480	0	 189.14	 -8	-2 	0
2025-11-04 18:49:51	 3154	 1568	-2519	0	 189.14	 -1	-2 	0
2025-11-04 18:49:52	 3189	 1383	-2569	0	 222.54	 -7	-4 	0
2025-11-04 18:49:53	 3224	 1244	-2757	0	 266.48	 -1	-6 	0
2025-11-04 18:49:54	 3259	 1228	-3017	0	 266.48	 -1	-9 	0
2025-11-04 18:49:55	 3294	 1224	-3056	0	 299.88	 1	-1 	0
2025-11-04 18:49:56	 3329	 1300	-3222	-16	 247.15	 -1	-8 	0
2025-11-04 18:49:57	 3364	 1237	-3434	0	 273.52	 -1	-8 	0
2025-11-04 18:49:58	 3399	 1284	-3531	0	 338.55	 5	-3 	0
2025-11-04 18:50:16	 4012	 1205	-3503	0	 168.40	 -8	1 	0
2025-11-04 18:50:17	 4047	 946	-3479	0	 185.98	 -4	-1 	0
2025-11-04 18:50:18	 4082	 783	-3499	0	 203.55	 -8	-3 	0
2025-11-04 18:50:19	 4117	 720	-3464	0	 98.09	 -1	5 	0
2025-11-04 18:50:20	 4152	 718	-3281	0	 127.97	 -1	1 	0
2025-11-04 18:50:21	 4187	 566	-3242	-8	 177.19	 -8	0 	0
2025-11-04 18:50:22	 4222	 280	-3226	24	 177.19	 -9	0 	0
2025-11-04 18:50:23	 4257	 22	-3224	104	 189.49	 -3	-1 	0
2025-11-04 18:50:24	 4292	 -7	-3225	104	 309.02	 -1	-1 	0
2025-11-04 18:50:25	 4327	 104	-3258	104	 354.73	 6	-1 	0
2025-11-04 18:50:26	 4362	 387	-3284	-8	 7.03	 9	-1 	0
2025-11-04 18:50:27	 4397	 677	-3224	-8	 26.37	 7	3 	0
2025-11-04 18:50:28	 4432	 907	-3121	0	 26.37	 3	0 	0
2025-11-04 18:50:29	 4467	 1095	-3023	0	 42.19	 6	5 	0
2025-11-04 18:50:30	 4502	 1288	-2813	0	 77.34	 3	7 	0
2025-11-04 18:50:31	 4537	 1369	-2571	0	 15.82	 2	5 	0
2025-11-04 18:50:32	 4572	 1534	-2499	0	 324.84	 2	-1 	0
2025-11-04 18:50:33	 4607	 1573	-2498	0	 205.31	 0	0 	0
2025-11-04 18:50:35	 4696	 1583	-2495	0	 194.77	 0	0 	0
2025-11-04 18:50:38	 4773	 1495	-2519	0	 210.59	 -7	-3 	0
