                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x75158004a010, 2000000 allocated for zone
Using /home/joseacontreras/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/joseacontreras/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/joseacontreras/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 19:44:00 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 19:45:15	 2677	 1366	-2548	0	 21.45	 4	5 	0
2025-11-04 19:45:16	 2712	 1519	-2465	0	 341.02	 0	0 	0
2025-11-04 19:45:17	 2747	 1494	-2464	0	 348.05	 3	-1 	0
2025-11-04 19:45:18	 2782	 1725	-2515	0	 2.11	 7	-3 	0
2025-11-04 19:45:19	 2817	 1999	-2497	0	 12.66	 8	1 	0
2025-11-04 19:45:20	 2852	 2223	-2491	24	 5.62	 2	-1 	0
2025-11-04 19:45:21	 2887	 2281	-2492	24	 98.79	 0	0 	0
2025-11-04 19:45:22	 2922	 2167	-2465	16	 191.95	 -8	-1 	0
2025-11-04 19:45:23	 2957	 1901	-2405	0	 139.22	 -5	2 	0
2025-11-04 19:45:24	 2992	 1862	-2369	0	 248.20	 -1	-2 	0
2025-11-04 19:45:25	 3027	 1787	-2549	0	 248.20	 -3	-7 	0
2025-11-04 19:45:26	 3062	 1803	-2736	0	 2.46	 4	0 	0
2025-11-04 19:45:27	 3097	 1920	-2636	0	 100.90	 -1	7 	0
2025-11-04 19:45:28	 3132	 1850	-2372	0	 116.72	 -4	7 	0
2025-11-04 19:45:29	 3167	 1836	-2129	0	 9.49	 1	0 	0
2025-11-04 19:45:30	 3202	 2024	-2224	0	 346.64	 6	-5 	0
2025-11-04 19:45:31	 3237	 2299	-2249	0	 341.37	 8	-1 	0
2025-11-04 19:45:32	 3272	 2466	-2383	0	 278.09	 1	-3 	0
2025-11-04 19:45:33	 3307	 2455	-2467	0	 278.09	 -1	-7 	0
2025-11-04 19:45:34	 3342	 2492	-2672	0	 311.48	 0	0 	0
2025-11-04 19:45:35	 3377	 2438	-2657	0	 292.15	 1	-4 	0
2025-11-04 19:45:36	 3417	 2431	-2736	0	 13.01	 -7	-1 	0
2025-11-04 19:45:37	 3452	 2398	-2690	0	 344.88	 5	0 	0
2025-11-04 19:45:38	 3487	 2438	-2690	0	 20.04	 1	0 	0
2025-11-04 19:45:39	 3522	 2445	-2683	0	 341.37	 -1	0 	0
2025-11-04 19:45:40	 3567	 2475	-2593	0	 353.67	 0	0 	0
2025-11-04 19:45:41	 3602	 2566	-2617	-8	 316.76	 3	-2 	0
2025-11-04 19:45:42	 3637	 2719	-2743	-16	 304.45	 4	-4 	0
2025-11-04 19:45:43	 3672	 2735	-2695	-16	 358.95	 3	0 	0
2025-11-04 19:45:44	 3707	 2731	-2757	-16	 49.92	 -6	-5 	0
2025-11-04 19:45:45	 3742	 2723	-2642	-8	 37.62	 3	5 	0
2025-11-04 19:45:46	 3777	 2737	-2682	-16	 160.66	 -4	-1 	0
2025-11-04 19:45:47	 3812	 2502	-2647	0	 204.61	 -8	-1 	0
2025-11-04 19:45:48	 3847	 2383	-2736	0	 327.66	 3	-1 	0
2025-11-04 19:45:49	 3882	 2369	-2736	0	 23.91	 -6	-1 	0
2025-11-04 19:45:50	 3917	 2316	-2736	0	 22.15	 -1	0 	0
2025-11-04 19:45:51	 3952	 2478	-2646	0	 4.57	 7	2 	0
2025-11-04 19:45:52	 3987	 2585	-2610	-8	 328.89	 0	0 	0
2025-11-04 19:45:57	 4124	 1052	-3554	0	 116.37	 -2	6 	0
2025-11-04 19:45:58	 4159	 944	-3380	0	 163.83	 -1	2 	0
2025-11-04 19:45:59	 4194	 895	-3309	0	 179.65	 -7	1 	0
2025-11-04 19:46:00	 4229	 647	-3279	-8	 167.34	 -9	1 	0
2025-11-04 19:46:01	 4264	 355	-3223	-8	 183.16	 -9	0 	0
2025-11-04 19:46:02	 4299	 64	-3251	104	 190.20	 -7	-2 	0
2025-11-04 19:46:03	 4334	 -28	-3255	104	 186.68	 0	1 	0
2025-11-04 19:46:04	 4381	 -27	-3246	104	 198.98	 -4	-2 	0
2025-11-04 19:46:05	 4416	 -253	-3277	128	 126.91	 -7	3 	0
2025-11-04 19:46:06	 4451	 -304	-3234	104	 7.38	 -1	0 	0
2025-11-04 19:46:07	 4486	 -191	-3225	128	 3.87	 0	0 	0
2025-11-04 19:46:08	 4521	 -17	-3219	104	 47.81	 6	2 	0
2025-11-04 19:46:09	 4556	 98	-3072	14	 353.32	 4	6 	0
2025-11-04 19:46:10	 4591	 121	-3083	-8	 319.92	 0	-1 	0
2025-11-04 19:46:11	 4626	 224	-3169	-8	 346.29	 -2	-1 	0
2025-11-04 19:46:12	 4663	 189	-3123	-8	 53.09	 4	5 	0
2025-11-04 19:46:13	 4698	 344	-3061	-8	 302.34	 5	-4 	0
2025-11-04 19:46:14	 4733	 393	-3240	-8	 228.52	 -1	-2 	0
2025-11-04 19:46:15	 4768	 273	-3301	-8	 182.81	 -8	-2 	0
2025-11-04 19:46:16	 4803	 105	-3402	-8	 290.04	 2	-4 	0
2025-11-04 19:46:17	 4838	 240	-3422	-8	 35.51	 6	3 	0
2025-11-04 19:46:18	 4873	 303	-3409	-8	 47.81	 0	0 	0
2025-11-04 19:46:20	 4913	 300	-3411	-8	 28.48	 -3	-2 	0
2025-11-04 19:46:21	 4948	 228	-3403	-8	 107.58	 -1	5 	0
2025-11-04 19:46:22	 4983	 178	-3281	-8	 26.72	 -1	0 	0
2025-11-04 19:46:23	 5018	 321	-3280	8	 9.14	 6	0 	0
2025-11-04 19:46:24	 5053	 594	-3257	-8	 348.05	 8	-1 	0
2025-11-04 19:46:25	 5088	 817	-3395	0	 274.22	 2	-6 	0
2025-11-04 19:46:26	 5123	 754	-3536	0	 181.05	 -6	-1 	0
2025-11-04 19:46:27	 5158	 720	-3525	0	 135.35	 0	0 	0
2025-11-04 19:46:28	 5202	 743	-3332	0	 86.13	 1	7 	0
2025-11-04 19:46:29	 5237	 759	-3045	0	 77.34	 0	8 	0
2025-11-04 19:46:30	 5272	 884	-2958	0	 3.52	 6	0 	0
2025-11-04 19:46:31	 5307	 1138	-3032	0	 289.69	 5	-6 	0
2025-11-04 19:46:32	 5342	 1115	-3275	-16	 263.32	 -3	-8 	0
2025-11-04 19:46:33	 5377	 1208	-3493	0	 344.18	 7	-4 	0
2025-11-04 19:46:34	 5412	 1327	-3461	0	 80.86	 0	5 	0
2025-11-04 19:46:35	 5447	 1311	-3218	-16	 100.20	 -2	8 	0
2025-11-04 19:46:36	 5482	 1289	-2930	0	 79.10	 0	8 	0
2025-11-04 19:46:37	 5517	 1342	-2644	0	 65.04	 2	7 	0
2025-11-04 19:46:38	 5552	 1467	-2542	0	 1.76	 4	0 	0
2025-11-04 19:46:39	 5587	 1534	-2530	0	 1.76	 4	0 	0
2025-11-04 19:46:40	 5622	 1782	-2521	0	 10.55	 8	0 	0
2025-11-04 19:46:41	 5657	 2054	-2462	0	 29.88	 7	3 	0
2025-11-04 19:46:42	 5692	 2287	-2394	24	 303.75	 0	-3 	0
2025-11-04 19:46:43	 5727	 2241	-2544	24	 180.70	 -4	-1 	0
2025-11-04 19:46:44	 5762	 2046	-2443	0	 135.00	 -7	5 	0
2025-11-04 19:46:45	 5797	 1804	-2379	0	 249.26	 -6	-5 	0
2025-11-04 19:46:46	 5832	 1773	-2534	0	 286.17	 0	-2 	0
2025-11-04 19:46:47	 5867	 1781	-2593	0	 280.90	 0	-7 	0
2025-11-04 19:46:48	 5902	 1778	-2607	0	 296.72	 0	-2 	0
2025-11-04 19:46:49	 5937	 1943	-2726	0	 1.76	 7	-2 	0
2025-11-04 19:46:50	 5972	 2205	-2652	0	 19.34	 7	2 	0
2025-11-04 19:46:51	 6007	 2366	-2591	0	 68.83	 1	2 	0
2025-11-04 19:46:52	 6042	 2378	-2570	0	 58.16	 0	0 	0
2025-11-04 19:47:01	 6316	 1076	-3426	0	 63.63	 2	5 	0
2025-11-04 19:47:02	 6351	 1045	-3208	-16	 165.59	 -5	3 	0
2025-11-04 19:47:03	 6386	 832	-3137	0	 198.98	 -8	0 	0
2025-11-04 19:47:04	 6421	 695	-3151	0	 195.47	 -7	-2 	0
2025-11-04 19:47:05	 6456	 596	-3179	-8	 188.44	 -1	-1 	0
2025-11-04 19:47:06	 6491	 774	-3154	0	 188.44	 7	1 	0
2025-11-04 19:47:07	 6526	 1071	-3109	-8	 188.44	 8	1 	0
2025-11-04 19:47:08	 6561	 1112	-3076	0	 167.34	 -7	1 	0
2025-11-04 19:47:09	 6596	 918	-2981	0	 74.18	 -2	1 	0
2025-11-04 19:47:10	 6631	 997	-2929	0	 355.08	 7	1 	0
2025-11-04 19:47:11	 6666	 1212	-2983	0	 312.89	 6	-5 	0
2025-11-04 19:47:12	 6701	 1317	-3181	-16	 268.95	 0	-8 	0
2025-11-04 19:47:13	 6736	 1257	-3292	-16	 251.37	 -4	-8 	0
2025-11-04 19:47:14	 6771	 1258	-3540	0	 249.61	 -4	-4 	0
2025-11-04 19:47:15	 6806	 1191	-3416	0	 297.07	 -1	3 	0
2025-11-04 19:47:16	 6841	 1327	-3433	0	 31.99	 0	0 	0
2025-11-04 19:47:17	 6886	 1327	-3463	0	 263.67	 -1	-6 	0
2025-11-04 19:47:18	 6921	 1211	-3528	0	 147.66	 -7	2 	0
2025-11-04 19:47:19	 6956	 990	-3371	0	 137.11	 -6	5 	0
2025-11-04 19:47:20	 6991	 743	-3218	0	 177.54	 -9	1 	0
2025-11-04 19:47:21	 7026	 460	-3249	-8	 244.34	 -7	-5 	0
2025-11-04 19:47:22	 7061	 308	-3440	-8	 175.78	 -4	0 	0
